责任部门,项目数,总投资
合计,133,2289.02
鼓楼区,2,15.00
台江区,1,8.29
仓山区,10,190.18
晋安区,11,633.43
马尾区,12,140.45
长乐区,58,734.13
福清市,15,271.12
闽侯县,9,136.25
连江县,10,115.58
罗源县,3,28.79
闽清县,0,0.00
永泰县,1,10.80
高新区,1,5.00
