行业,总投资,年计划投资占比
合计,16395.18,100.00%
农林水利,610.85,2.84%
交通,2330.66,8.41%
能源,1518.79,6.48%
城建环保,1730.36,19.85%
工业科技,2628.25,18.33%
商贸服务业,4103.01,23.42%
社会事业,349.13,2.50%
旧屋区改造及保障房,2404.58,15.31%
旅游,637.76,2.39%
文化创意产业,81.8,0.48%
