年份,合计
1990,21.98
1991,29.6
1992,52.51
1993,84.99
1994,110.19
1995,147.51
1996,153.41
1997,175.68
1998,188.36
1999,197.64
2000,183.97
2001,203.44
2002,250.96
2003,364.08
2004,465.7
2005,536.56
2006,696.69
2007,946.54
2008,1163.67
2009,1544.6
2010,2231.69
2011,2656.6
2012,3234.77
2013,3834.2181
2014,4388.62
2015,4853.61
2016,5184.36
2017,5823.3857
