年份,进出口总额,出口总额,进口总额,新批外资项目,合同外资金额,实际利用外资(历史可比口径),(验资口径)
1990,3.2278,2.336,0.8918,233,2.737,1.022,
1995,23.4961,15.6732,7.8229,678,32.2706,11.2507,
2000,51.1835,27.2947,23.8888,295,9.5479,8.0087,
2005,136.89,86.72,50.17,326,11.66,16,6.4
2010,246,163.14,82.86,186,16.73,24.82,11.85
2015,333.4237,211.1956,122.2281,339,31.75,,16.79
2016,316.478,214.1984,102.2796,483,16.31,,18.14
2017,344.4558,218.3739,126.0819,362,58.63,,19.85
